enum_name,labels
annual_review_status,not_started|pending_self|pending_manager|pending_skip|pending_dept|pending_bu|pending_hr|pending_management|completed|excluded
annual_reviewer_role,self|manager|skip_manager|dept_head|bu_head|hr|management
annual_score_method,avg_all|last_6|custom
app_role,admin|manager|employee|auditor|management|hr_pms|skip_level|platform_owner|implementation_admin
config_status,draft|active|archived
confirmation_increment_treatment,ignore|adjust_covered_period|shift_next_cycle|carry_forward_uncovered
dev_report_entry_type,feature|bug|timeline
iac_scope_type,global|company|business_unit|department
increment_method_type,full|prorated_doj|custom
kpi_status,open|submitted|approved_by_manager|locked
observation_type,positive|concern|neutral
pip_milestone_status,pending|met|partially_met|not_met
pip_outcome,improved|not_improved|escalated
pip_status,draft|pending_hr_approval|active|completed|extended|terminated
query_entity_type,kra|kpi
query_status,open|resolved|responded
rating_level,red|yellow|green|blue
review_status,kra_set|self_review|manager_check|functional_manager_check|audit|approved|management_review|skip_level_check|hr_pms_review
safety_app_role,admin|safety_head|safety_officer|bu_head|manager|supervisor|worker|auditor
safety_asset_status,active|under_maintenance|retired
safety_audit_answer,yes|no|na
safety_audit_run_status,draft|submitted|reviewed
safety_drill_status,scheduled|in_progress|completed|reviewed|cancelled
safety_drill_type,fire|evacuation|spill|medical|chemical|security|earthquake|other
safety_emergency_contact_type,internal|external_agency|hospital|fire_brigade|police|environmental|other
safety_evidence_stage,report|assignment|investigation|rca|capa|verification
safety_incident_severity,low|medium|high|critical
safety_incident_status,reported|management_review|assigned|investigation|rca|corrective_action|safety_head_review|verification|closed|orphaned|rework_required
safety_incident_type,near_miss|unsafe_act|unsafe_condition|accident|property_damage|environmental
safety_permit_status,draft|submitted|in_approval|approved|active|suspended|closed|rejected|expired
safety_permit_type,hot_work|confined_space|work_at_height|electrical|excavation|lifting|general
safety_priority,low|medium|high|critical
tni_gap_type,skill|knowledge|behavior|compliance
tni_priority,high|medium|low
tni_status,identified|training_planned|in_progress|completed
